_id,is_admin,username,user_password,first_name,last_name,email,account_creation,balance,credits
66797085da3f76f2831910f7,0,gillsheila,v5tWU1Ab_l,Ronnie,Torres,ronnie.torres@flores-collins.com,2004-08-14T00:00:00.000Z,75436484.87,20242347
66797085da3f76f2831910f8,1,jackfarley,de&4HFLd6&,Jordan,Howard,jordan.howard@diaz-burgess.com,2009-02-20T00:00:00.000Z,13821043.71,76985216
66797085da3f76f2831910f9,0,bautistacrystal,%sO3Rt%miZ,Robert,Reed,robert.reed@fernandez.net,2001-09-17T00:00:00.000Z,96371244.6,26946920
66797085da3f76f2831910fa,0,steven85,0$4rXyj7Uk,Carla,Johnson,carla.johnson@flores.com,2011-05-30T00:00:00.000Z,34401530.52,27239122
66797085da3f76f2831910fb,0,zlin,YR*3Cs_SvM,Cheryl,Howard,cheryl.howard@salas.com,2020-02-08T00:00:00.000Z,37871668.76,62772918
66797085da3f76f2831910fc,0,asanchez,d82CA^JE$R,Jason,Day,jason.day@hebert-stanley.com,2003-11-19T00:00:00.000Z,64191468.57,30767044
66797085da3f76f2831910fd,0,deborah54,&W)EAuyx7Z,Melissa,Williams,melissa.williams@cochran.com,2016-12-31T00:00:00.000Z,2404253.69,32155820
66797085da3f76f2831910fe,1,davidmatthews,&&bN7RzpfG,Taylor,Cummings,taylor.cummings@cook.com,2008-08-11T00:00:00.000Z,80543841.38,65995136
66797085da3f76f2831910ff,1,lindamarks,1A_6jHEw&V,Ashley,Lamb,ashley.lamb@carlson-roy.info,2021-11-02T00:00:00.000Z,33294317.87,90463805
66797085da3f76f283191100,0,melissa43,&a6UwA&p0^,Roy,Randall,roy.randall@gonzalez.com,2020-08-08T00:00:00.000Z,69382633.83,62516362
66797085da3f76f283191101,1,robertjones,)I&fJbUrN6,Cindy,Bush,cindy.bush@edwards.info,2021-07-25T00:00:00.000Z,69828466.57,87342598
66797085da3f76f283191102,0,zachary38,VVC0MmuGU^,Antonio,Allen,antonio.allen@white.info,2005-05-13T00:00:00.000Z,50555226.51,15865773
66797085da3f76f283191103,0,cbrown,m6%0GfU$@X,Dean,Byrd,dean.byrd@lee.com,2020-01-16T00:00:00.000Z,8618508.5,65771382
66797085da3f76f283191104,1,barnesstacey,8i@PPuD)#v,Stephanie,Thomas,stephanie.thomas@wood.biz,2013-04-11T00:00:00.000Z,86912127.42,74216924
66797085da3f76f283191105,0,jasonberry,Z+Jk1LyTt5,Amanda,Coleman,amanda.coleman@wells.com,2022-11-11T00:00:00.000Z,10792320.72,48924267
66797085da3f76f283191106,1,theodore59,bRrJzJgh!4,Michael,Estes,michael.estes@combs-martinez.org,2009-12-17T00:00:00.000Z,82707217.91,49804787
66797085da3f76f283191107,0,jalvarado,46H5eRQl8!,Elizabeth,Medina,elizabeth.medina@carroll.com,2006-09-17T00:00:00.000Z,57261575.55,29596748
66797085da3f76f283191108,1,angelafrazier,A^3xtTSgol,John,Lopez,john.lopez@richardson.net,2011-02-08T00:00:00.000Z,5865951.7,36362217
66797085da3f76f283191109,1,kristenmccann,)Jb4p+Kf&@,Angelica,Dorsey,angelica.dorsey@morris.com,2006-01-24T00:00:00.000Z,30813830.6,89780274
66797085da3f76f28319110a,1,tony93,218F@eGt+h,Jermaine,Vazquez,jermaine.vazquez@thomas.biz,2009-07-31T00:00:00.000Z,35377719.93,44805552
66797085da3f76f28319110b,0,regina04,2+Rc6V448m,Devin,Jackson,devin.jackson@little-hernandez.com,2006-11-18T00:00:00.000Z,55078527.19,82816080
66797085da3f76f28319110c,1,nmurphy,_95UnXvW&r,Stephen,Freeman,stephen.freeman@rogers.com,2011-05-23T00:00:00.000Z,8212338.96,10233826
66797085da3f76f28319110d,0,johnmccoy,_%8L_wYtEx,David,Morrison,david.morrison@snyder.com,2023-11-25T00:00:00.000Z,35174879.78,26315105
66797085da3f76f28319110e,1,michelle01,rp77$McEB+,Danny,Norton,danny.norton@williams-hicks.biz,2018-07-07T00:00:00.000Z,95339848.14,26678639
66797085da3f76f28319110f,0,masondanny,A5Q7t1It%z,Amanda,Martinez,amanda.martinez@sullivan.org,2016-12-27T00:00:00.000Z,95217271.56,59323928
66797085da3f76f283191110,0,emorrison,_L*Tpy7L7H,Miranda,Taylor,miranda.taylor@edwards.biz,2003-03-18T00:00:00.000Z,48320487.98,42252648
66797085da3f76f283191111,1,dholt,!0)Fivmn!z,Austin,Johnson,austin.johnson@jacobs.org,2020-11-09T00:00:00.000Z,34597984.83,56362773
66797085da3f76f283191112,0,harveydavid,&%5&eSGncf,Jason,Jones,jason.jones@marquez.com,2011-08-14T00:00:00.000Z,62217750.49,49200168
66797085da3f76f283191113,0,elizabeth26,_kw5lDUk#_,Jeffrey,Smith,jeffrey.smith@white.net,2019-09-15T00:00:00.000Z,43992708.83,44603637
66797085da3f76f283191114,1,uwelch,(g*u34LoOX,Justin,Barnes,justin.barnes@rangel.com,2000-09-06T00:00:00.000Z,40210301.13,56726547
66797085da3f76f283191115,1,josephmckay,&0nK6h8_rB,Alexander,Strong,alexander.strong@kelley-hardin.com,2017-05-17T00:00:00.000Z,75691076.22,5884744
66797085da3f76f283191116,0,kellerashley,58)B^I$N@g,John,Ortiz,john.ortiz@perez.net,2000-02-24T00:00:00.000Z,32730878.28,83618919
66797085da3f76f283191117,1,shannon37,Uus3QPLDK&,Jerry,Hoffman,jerry.hoffman@dawson.com,2019-09-04T00:00:00.000Z,25369747.82,24189652
66797085da3f76f283191118,0,patrick68,2_Ia3TEkV%,Gary,Peterson,gary.peterson@sanders.com,2003-10-26T00:00:00.000Z,79982390.61,78229847
66797085da3f76f283191119,1,lanemanuel,H+5m^Lvn5h,Kelly,Hawkins,kelly.hawkins@harris.com,2004-05-03T00:00:00.000Z,18715024.29,48271322
66797085da3f76f28319111a,0,matthewmelton,!7z9BmOeW8,Tyler,Fisher,tyler.fisher@long.com,2011-02-06T00:00:00.000Z,90824506.17,40355189
66797085da3f76f28319111b,0,ipeterson,3ZODG4yf(J,Marcus,Arnold,marcus.arnold@smith.com,2001-07-19T00:00:00.000Z,65736018.07,97261132
66797085da3f76f28319111c,0,sergio62,12JJZoGx_J,Brenda,Singh,brenda.singh@barnes.com,2022-07-01T00:00:00.000Z,67949107.05,3512581
66797085da3f76f28319111d,1,ekerr,$*5Kj6jK#5,Larry,Williams,larry.williams@stanley-hall.com,2022-03-16T00:00:00.000Z,20032676.49,92329550
66797085da3f76f28319111e,1,autumn56,uR&p0UVbVn,Roberta,Donovan,roberta.donovan@daniels.com,2021-02-06T00:00:00.000Z,63074610.23,6660790
66797085da3f76f28319111f,1,apetersen,x0IZEKYe@0,Amy,Torres,amy.torres@burton.info,2015-10-24T00:00:00.000Z,95396031.62,33297732
66797085da3f76f283191120,1,luismichael,h$2Ytupd+#,Jason,Evans,jason.evans@moore.com,2012-11-01T00:00:00.000Z,98810704.98,45058970
66797085da3f76f283191121,0,gtorres,aZ#A_7Bg9A,Marilyn,Becker,marilyn.becker@ward.com,2003-07-11T00:00:00.000Z,73807361.57,98072631
66797085da3f76f283191122,0,gillrobert,rx9+LSbbi@,Laura,Smith,laura.smith@hernandez-mitchell.com,2007-07-13T00:00:00.000Z,81423748.96,11712646
66797085da3f76f283191123,1,melissawang,&zKjqvp)4I,Kimberly,Kemp,kimberly.kemp@wilson-sims.com,2013-02-04T00:00:00.000Z,26840775.09,43942453
66797085da3f76f283191124,0,jennifer36,j8BJJng9#N,Jacqueline,Gray,jacqueline.gray@wu.com,2003-03-27T00:00:00.000Z,87060790.24,64665892
66797085da3f76f283191125,1,olivia12,)q6*_JuE&9,Tracy,Castillo,tracy.castillo@rose-kirby.com,2000-08-13T00:00:00.000Z,73003391.92,87697782
66797085da3f76f283191126,1,camachokyle,%mSLcyjh3f,Taylor,Tanner,taylor.tanner@ortega.net,2003-06-27T00:00:00.000Z,78053010.57,24280960
66797085da3f76f283191127,0,jenniferhill,l0F*^ed4)%,Kenneth,Curry,kenneth.curry@jenkins-young.info,2011-02-08T00:00:00.000Z,9842234.15,21977966
66797085da3f76f283191128,0,rmorgan,)Y6X7@dB%S,Timothy,Poole,timothy.poole@wallace.com,2021-02-11T00:00:00.000Z,57777144.43,75392209
66797085da3f76f283191129,1,mariequinn,^NXn5Jlwf%,Joshua,Banks,joshua.banks@francis.biz,2011-03-29T00:00:00.000Z,38460241.86,83837241
66797085da3f76f28319112a,1,jonesdavid,#6Oy1)k&vF,Jessica,Ortiz,jessica.ortiz@butler.com,2007-12-07T00:00:00.000Z,80108681.34,7984967
66797085da3f76f28319112b,0,zacharygarcia,Eph!1pEqtP,Jesse,Graham,jesse.graham@howell-simmons.org,2009-01-30T00:00:00.000Z,73334539.78,10891457
66797085da3f76f28319112c,1,cmorgan,fhAH3&Rd#U,Ashley,Foley,ashley.foley@gonzalez-lee.com,2017-07-30T00:00:00.000Z,95629143.89,17520792
66797085da3f76f28319112d,0,alvarezbrian,j+8RH+bZm&,Mary,Clay,mary.clay@fleming.info,2017-05-06T00:00:00.000Z,66907687.04,80323135
66797085da3f76f28319112e,1,dthomas,+2NCCIRXk#,Tyler,Taylor,tyler.taylor@espinoza-rosales.com,2010-07-04T00:00:00.000Z,16227006.64,3676819
66797085da3f76f28319112f,0,michael80,!0hHzWjOL0,Jason,Greene,jason.greene@mendez.info,2018-03-25T00:00:00.000Z,99989774.49,6152900
66797085da3f76f283191130,1,kkirby,#$#6DpoQ5T,Robert,Meza,robert.meza@lee-west.com,2003-01-28T00:00:00.000Z,7756653.91,71293099
66797085da3f76f283191131,1,todd75,6*7d2HzV!&,Dylan,Oliver,dylan.oliver@parsons.com,2002-10-20T00:00:00.000Z,92952814.46,80991402
66797085da3f76f283191132,0,kdaniels,%53NFUKR@d,Patrick,Church,patrick.church@smith.com,2016-06-18T00:00:00.000Z,30363372.32,4889062
66797085da3f76f283191133,0,perezcharles,+_1H6O#md5,Joshua,Perez,joshua.perez@brooks.com,2004-09-12T00:00:00.000Z,37270877.43,15573563
